Date,Open,High,Low,Close,Volume
06/07/2019,"118.50","119.00","118.50","119.00","670"
05/29/2019,"113.60","113.60","113.60","113.60","665"
05/22/2019,"113.40","113.40","113.40","113.40","870"
05/21/2019,"111.00","111.00","111.00","111.00","795"
05/06/2019,"104.85","104.85","104.85","104.85","75"
05/03/2019,"104.85","104.85","104.85","104.85","11"
05/02/2019,"104.85","104.85","104.85","104.85","1"
04/29/2019,"104.85","104.85","104.85","104.85","240"
04/18/2019,"104.75","104.75","104.75","104.75","200"
04/16/2019,"103.30","103.30","103.30","103.30","246"
03/20/2019,"100.40","100.40","100.40","100.40","160"
03/18/2019,"98.40","98.40","98.40","98.40","200"
03/14/2019,"97.95","97.95","97.95","97.95","1,425"
03/05/2019,"95.40","95.40","95.40","95.40","100"
03/04/2019,"94.00","94.00","93.85","93.85","600"
