Date,Open,High,Low,Close,Volume
06/01/2021,"118.75","118.75","118.20","118.20","1,415"
05/17/2021,"105.75","105.75","105.75","105.75","90"
04/23/2021,"105.75","105.75","105.75","105.75","23"
04/22/2021,"105.75","105.75","105.75","105.75","9"
04/12/2021,"105.75","105.75","105.75","105.75","20"
03/23/2021,"106.50","106.50","105.75","105.75","1,250"
03/12/2021,"103.17","103.17","103.17","103.17","175"
03/11/2021,"103.17","103.17","103.17","103.17","2"
03/10/2021,"103.17","103.17","103.17","103.17","2,871"
03/09/2021,"101.53","101.53","101.53","101.53","6,913"
03/08/2021,"101.35","101.35","101.35","101.35","14"
03/03/2021,"101.35","101.35","101.35","101.35","60"
03/02/2021,"101.35","101.35","101.35","101.35","100"
02/26/2021,"99.76","99.76","99.71","99.72","2,361"
02/17/2021,"103.50","103.50","103.50","103.50","7,385"
02/16/2021,"109.25","109.25","109.25","109.25","300"
02/05/2021,"111.73","111.73","111.73","111.73","332"
02/04/2021,"109.63","109.63","109.63","109.63","213"
12/31/2020,"117.15","117.15","117.15","117.15","200"
12/23/2020,"114.00","114.00","114.00","114.00","400"
12/17/2020,"115.10","115.10","115.10","115.10","150"
12/07/2020,"107.11","107.11","107.11","107.11","91"
11/25/2020,"107.11","107.11","107.11","107.11","50"
11/04/2020,"107.11","107.11","107.11","107.11","5"
11/03/2020,"107.11","107.11","107.11","107.11","2,523"
11/02/2020,"104.42","104.47","104.42","104.47","519"
10/30/2020,"104.15","104.15","104.00","104.15","8,757"
10/13/2020,"115.80","115.80","115.80","115.80","225"
09/21/2020,"113.00","113.00","113.00","113.00","50"
09/18/2020,"113.00","113.00","113.00","113.00","2"
08/17/2020,"113.00","113.00","113.00","113.00","200"
08/13/2020,"114.41","114.41","114.20","114.33","5,571"
08/07/2020,"122.56","122.56","122.56","122.56","5"
08/06/2020,"122.56","122.56","122.56","122.56","5"
08/05/2020,"122.56","122.56","122.56","122.56","2,835"
07/30/2020,"119.50","119.50","119.50","119.50","200"
07/16/2020,"112.83","112.83","112.83","112.83","1,123"
07/13/2020,"111.83","111.83","111.83","111.83","500"
07/10/2020,"108.43","108.43","108.06","108.06","1,490"
07/08/2020,"111.16","111.16","111.16","111.16","21"
07/07/2020,"111.16","111.16","111.16","111.16","169"
06/24/2020,"109.65","109.65","109.65","109.65","26"
06/15/2020,"109.65","109.65","109.65","109.65","190"
06/12/2020,"110.29","110.29","110.29","110.29","272"
06/11/2020,"111.60","111.60","111.60","111.60","219"
06/10/2020,"112.96","112.96","112.96","112.96","315"
06/09/2020,"112.96","112.96","112.96","112.96","4,476"
06/08/2020,"110.60","110.60","110.60","110.60","623"
